0	LOCK
4.4M	023627.sst
4.4M	023669.sst
4.4M	023720.sst
4.4M	023771.sst
4.4M	023799.sst
4.4M	023827.sst
4.4M	023841.sst
4.4M	023850.sst
4.4M	023868.sst
4.4M	023885.sst
4.4M	023909.sst
4.4M	023946.sst
4.4M	023971.sst
4.4M	024000.sst
4.4M	024012.sst
4.4M	024020.sst
4.4M	024028.sst
4.4M	024036.sst
4.4M	024049.sst
4.4M	024068.sst
4.4M	024090.sst
4.4M	024108.sst
4.4M	024141.sst
4.4M	024175.sst
4.4M	024205.sst
4.5M	006301.sst
4.5M	006353.sst
4.5M	006550.sst
4.5M	006561.sst
4.5M	006575.sst
4.5M	006812.sst
4.5M	006827.sst
4.5M	007965.sst
4.6M	015167.sst
4.6M	022299.sst
4.7M	004242.sst
4.7M	004277.sst
4.7M	023127.sst
4.7M	023128.sst
4.8M	006823.sst
4.8M	006841.sst
4.8M	007093.sst
4.8M	008276.sst
4.8M	008637.sst
4.8M	008660.sst
4.8M	013688.sst
4.8M	014895.sst
4.8M	019707.sst
4.8M	019835.sst
4.8M	019839.sst
4.8M	019998.sst
4.8M	021604.sst
4.9M	006840.sst
4.9M	007405.sst
4.9M	008083.sst
4.9M	008210.sst
4.9M	008216.sst
4.9M	008250.sst
4.9M	008338.sst
4.9M	008351.sst
4.9M	008580.sst
4.9M	012480.sst
4.9M	013312.sst
4.9M	018329.sst
5.0M	006149.sst
5.0M	006817.sst
5.0M	006830.sst
5.0M	007393.sst
5.0M	007396.sst
5.0M	007406.sst
5.0M	007954.sst
5.0M	008082.sst
5.0M	008126.sst
5.0M	008221.sst
5.0M	008226.sst
5.0M	008283.sst
5.0M	008518.sst
5.0M	008671.sst
5.0M	013170.sst
5.0M	023565.sst
5.1M	004318.sst
5.1M	014377.sst
5.1M	017075.sst
5.1M	019713.sst
5.2M	004206.sst
5.2M	007980.sst
5.2M	008209.sst
5.2M	008273.sst
5.2M	008277.sst
5.2M	008299.sst
5.2M	008339.sst
5.2M	008587.sst
5.2M	008662.sst
5.2M	008672.sst
5.2M	012487.sst
5.2M	019405.sst
5.3M	002505.sst
5.3M	002514.sst
5.3M	003128.sst
5.3M	007094.sst
5.3M	007097.sst
5.3M	007105.sst
5.3M	008058.sst
5.3M	008607.sst
5.3M	021459.sst
5.4M	004291.sst
5.4M	004823.sst
5.4M	008581.sst
5.4M	019576.sst
5.4M	019699.sst
5.5M	002495.sst
5.5M	002508.sst
5.5M	002517.sst
5.5M	002575.sst
5.5M	003113.sst
5.5M	004786.sst
5.5M	004791.sst
5.5M	004848.sst
5.5M	004861.sst
5.5M	007104.sst
5.5M	007746.sst
5.5M	008116.sst
5.5M	008232.sst
5.5M	008280.sst
5.5M	008369.sst
5.5M	012344.sst
5.5M	012357.sst
5.6M	004839.sst
5.6M	004862.sst
5.6M	007656.sst
5.6M	018624.sst
5.6M	020355.sst
5.6M	022150.sst
5.7M	002512.sst
5.7M	002556.sst
5.7M	003116.sst
5.7M	003121.sst
5.7M	008297.sst
5.7M	008561.sst
5.7M	008577.sst
5.7M	016678.sst
5.7M	020925.sst
5.7M	022023.sst
5.8M	002523.sst
5.8M	002545.sst
5.8M	003104.sst
5.8M	003110.sst
5.8M	004745.sst
5.8M	004749.sst
5.8M	004759.sst
5.8M	004767.sst
5.8M	004771.sst
5.8M	004774.sst
5.8M	004798.sst
5.8M	004850.sst
5.8M	004851.sst
5.8M	007748.sst
5.8M	007758.sst
5.8M	008087.sst
5.8M	008238.sst
5.8M	008246.sst
5.8M	008308.sst
5.8M	008355.sst
5.8M	008520.sst
5.8M	008524.sst
5.8M	008535.sst
5.8M	008571.sst
5.8M	008680.sst
5.8M	011666.sst
5.8M	012361.sst
5.8M	015169.sst
5.8M	019969.sst
5.8M	020234.sst
5.9M	003118.sst
5.9M	004817.sst
5.9M	008074.sst
5.9M	010275.sst
5.9M	019158.sst
6.0M	002507.sst
6.0M	002515.sst
6.0M	002544.sst
6.0M	003088.sst
6.0M	003090.sst
6.0M	003099.sst
6.0M	003101.sst
6.0M	003102.sst
6.0M	003112.sst
6.0M	003130.sst
6.0M	003134.sst
6.0M	004757.sst
6.0M	004768.sst
6.0M	004794.sst
6.0M	004811.sst
6.0M	004815.sst
6.0M	004826.sst
6.0M	004830.sst
6.0M	004833.sst
6.0M	007745.sst
6.0M	008113.sst
6.0M	008124.sst
6.0M	008214.sst
6.0M	008270.sst
6.0M	010418.sst
6.0M	015612.sst
6.0M	019847.sst
6.0M	023588.sst
6.1M	008253.sst
6.1M	011299.sst
6.1M	021465.sst
6.1M	023310.sst
6.2M	003087.sst
6.2M	008070.sst
6.2M	008364.sst
6.2M	012627.sst
6.2M	019846.sst
6.2M	022019.sst
6.3M	002506.sst
6.3M	002805.sst
6.3M	002814.sst
6.3M	003473.sst
6.3M	003502.sst
6.3M	004765.sst
6.3M	004770.sst
6.3M	004802.sst
6.3M	004814.sst
6.3M	004847.sst
6.3M	006081.sst
6.3M	008229.sst
6.3M	008233.sst
6.3M	008345.sst
6.3M	008568.sst
6.3M	008601.sst
6.3M	008828.sst
6.3M	013686.sst
6.3M	015988.sst
6.3M	016679.sst
6.3M	023153.sst
6.4M	019560.sst
6.5M	002498.sst
6.5M	002773.sst
6.5M	002806.sst
6.5M	002812.sst
6.5M	002813.sst
6.5M	002829.sst
6.5M	002849.sst
6.5M	003475.sst
6.5M	003485.sst
6.5M	003499.sst
6.5M	005506.sst
6.5M	005513.sst
6.5M	005521.sst
6.5M	005544.sst
6.5M	005729.sst
6.5M	006099.sst
6.5M	006101.sst
6.5M	008223.sst
6.5M	008268.sst
6.5M	008360.sst
6.5M	008527.sst
6.5M	011030.sst
6.5M	019279.sst
6.5M	021074.sst
6.5M	021462.sst
6.5M	023719.sst
6.6M	002785.sst
6.6M	002788.sst
6.6M	008614.sst
6.6M	008805.sst
6.6M	011539.sst
6.6M	021078.sst
6.7M	002516.sst
6.7M	003491.sst
6.7M	005712.sst
6.7M	008227.sst
6.7M	008284.sst
6.8M	002774.sst
6.8M	002775.sst
6.8M	002798.sst
6.8M	002801.sst
6.8M	002803.sst
6.8M	002827.sst
6.8M	002836.sst
6.8M	002848.sst
6.8M	002855.sst
6.8M	002856.sst
6.8M	002866.sst
6.8M	003474.sst
6.8M	003488.sst
6.8M	003501.sst
6.8M	005537.sst
6.8M	005736.sst
6.8M	005744.sst
6.8M	006082.sst
6.8M	008102.sst
6.8M	008115.sst
6.8M	008241.sst
6.8M	008282.sst
6.8M	008679.sst
6.8M	009423.sst
6.8M	009460.sst
6.8M	013322.sst
6.8M	022151.sst
6.9M	002776.sst
6.9M	002815.sst
6.9M	002847.sst
6.9M	006105.sst
6.9M	008330.sst
6.9M	009917.sst
6.9M	015991.sst
6.9M	017590.sst
7.0M	002826.sst
7.0M	002828.sst
7.0M	003513.sst
7.0M	003517.sst
7.0M	005200.sst
7.0M	005890.sst
7.0M	006091.sst
7.0M	006317.sst
7.0M	008103.sst
7.0M	008249.sst
7.0M	008267.sst
7.0M	008292.sst
7.0M	008350.sst
7.0M	008361.sst
7.0M	008521.sst
7.0M	015747.sst
7.0M	017983.sst
7.0M	018205.sst
7.1M	006100.sst
7.1M	012218.sst
7.1M	013326.sst
7.1M	020776.sst
7.2M	008562.sst
7.2M	013971.sst
7.2M	019411.sst
7.3M	005179.sst
7.3M	005187.sst
7.3M	005190.sst
7.3M	005213.sst
7.3M	006080.sst
7.3M	006319.sst
7.3M	006352.sst
7.3M	008123.sst
7.3M	008217.sst
7.3M	008235.sst
7.3M	008335.sst
7.3M	008354.sst
7.3M	008588.sst
7.3M	014246.sst
7.3M	019979.sst
7.4M	008305.sst
7.4M	012221.sst
7.4M	012605.sst
7.5M	004492.sst
7.5M	004576.sst
7.5M	005164.sst
7.5M	005191.sst
7.5M	005210.sst
7.5M	005385.sst
7.5M	007755.sst
7.5M	007757.sst
7.5M	007970.sst
7.5M	008101.sst
7.5M	008125.sst
7.5M	008256.sst
7.5M	008274.sst
7.5M	008294.sst
7.5M	008341.sst
7.5M	008556.sst
7.5M	008608.sst
7.5M	020378.sst
7.5M	023317.sst
7.5M	023823.sst
7.6M	006368.sst
7.6M	008374.sst
7.6M	008626.sst
7.6M	010134.sst
7.7M	013199.sst
7.8M	004495.sst
7.8M	004521.sst
7.8M	004542.sst
7.8M	004546.sst
7.8M	005173.sst
7.8M	005189.sst
7.8M	006309.sst
7.8M	006354.sst
7.8M	007659.sst
7.8M	007660.sst
7.8M	008239.sst
7.8M	008320.sst
7.8M	008507.sst
7.8M	013956.sst
7.8M	016113.sst
7.8M	021708.sst
7.8M	023986.sst
7.8M	024201.sst
7.9M	004541.sst
7.9M	004569.sst
7.9M	007823.sst
7.9M	008731.sst
7.9M	008785.sst
7.9M	008844.sst
7.9M	008897.sst
7.9M	008950.sst
7.9M	009023.sst
7.9M	010220.sst
7.9M	010867.sst
7.9M	010890.sst
7.9M	010914.sst
7.9M	011843.sst
7.9M	011943.sst
7.9M	012531.sst
7.9M	012590.sst
7.9M	012646.sst
7.9M	012719.sst
7.9M	012787.sst
7.9M	013834.sst
7.9M	013861.sst
7.9M	013916.sst
7.9M	014002.sst
7.9M	014068.sst
7.9M	014142.sst
7.9M	015052.sst
7.9M	015360.sst
7.9M	015412.sst
7.9M	015435.sst
7.9M	016208.sst
7.9M	016381.sst
7.9M	016551.sst
7.9M	016616.sst
7.9M	016683.sst
7.9M	017489.sst
7.9M	017527.sst
7.9M	017858.sst
7.9M	018359.sst
7.9M	018398.sst
7.9M	018457.sst
7.9M	018518.sst
7.9M	019469.sst
7.9M	019622.sst
7.9M	019668.sst
7.9M	019723.sst
7.9M	019781.sst
7.9M	019828.sst
7.9M	020310.sst
7.9M	020337.sst
7.9M	020375.sst
7.9M	020408.sst
7.9M	020453.sst
7.9M	020485.sst
7.9M	020533.sst
7.9M	020599.sst
7.9M	020647.sst
7.9M	020723.sst
7.9M	020778.sst
7.9M	020860.sst
7.9M	020904.sst
7.9M	020992.sst
7.9M	021828.sst
7.9M	021952.sst
7.9M	022009.sst
7.9M	022069.sst
7.9M	022130.sst
7.9M	022206.sst
7.9M	023017.sst
7.9M	023120.sst
7.9M	023143.sst
7.9M	023147.sst
7.9M	023352.sst
7.9M	023413.sst
7.9M	023480.sst
7.9M	023532.sst
7.9M	023571.sst
7.9M	023592.sst
7.9M	023630.sst
7.9M	023672.sst
7.9M	023722.sst
7.9M	023774.sst
7.9M	023802.sst
7.9M	023828.sst
7.9M	023842.sst
7.9M	023851.sst
7.9M	023869.sst
7.9M	023889.sst
7.9M	023913.sst
7.9M	023948.sst
7.9M	023972.sst
7.9M	024001.sst
7.9M	024013.sst
7.9M	024021.sst
7.9M	024029.sst
7.9M	024037.sst
7.9M	024050.sst
7.9M	024069.sst
7.9M	024095.sst
7.9M	024111.sst
7.9M	024144.sst
7.9M	024177.sst
7.9M	024206.sst
8.0M	004498.sst
8.0M	004512.sst
8.0M	004529.sst
8.0M	004533.sst
8.0M	004554.sst
8.0M	004577.sst
8.0M	005163.sst
8.0M	008247.sst
8.0M	008523.sst
8.0M	011791.sst
8.0M	012353.sst
8.0M	016114.sst
8.0M	023564.sst
8.0M	024192.sst
8.1M	004501.sst
8.1M	012348.sst
8.1M	017971.sst
8.1M	019144.sst
8.1M	021190.sst
8.2M	004488.sst
8.2M	004499.sst
8.2M	004570.sst
8.2M	004578.sst
8.2M	005196.sst
8.2M	013051.sst
8.2M	022525.sst
8.3M	004513.sst
8.3M	004531.sst
8.3M	004561.sst
8.3M	005159.sst
8.3M	008342.sst
8.3M	008347.sst
8.3M	008517.sst
8.3M	008615.sst
8.3M	008684.sst
8.3M	013790.sst
8.3M	023440.sst
8.4M	008378.sst
8.4M	008616.sst
8.4M	010419.sst
8.4M	014100.sst
8.4M	015024.sst
8.4M	024121.sst
8.5M	004486.sst
8.5M	004487.sst
8.5M	004530.sst
8.5M	004532.sst
8.5M	004556.sst
8.5M	004558.sst
8.5M	004575.sst
8.5M	008633.sst
8.5M	011946.sst
8.5M	023039.sst
8.6M	003965.sst
8.6M	006140.sst
8.6M	009457.sst
8.6M	009919.sst
8.6M	011177.sst
8.6M	016244.sst
8.6M	016974.sst
8.6M	018754.sst
8.7M	012093.sst
8.7M	012921.sst
8.7M	020792.sst
8.7M	024118.sst
8.8M	003962.sst
8.8M	004517.sst
8.8M	004543.sst
8.8M	004557.sst
8.8M	008529.sst
8.8M	009454.sst
8.8M	016969.sst
8.8M	020102.sst
8.8M	020940.sst
8.9M	004511.sst
8.9M	008550.sst
8.9M	010549.sst
8.9M	011785.sst
8.9M	016363.sst
9.0M	004510.sst
9.0M	009183.sst
9.0M	019448.sst
9.0M	020654.sst
9.0M	024154.sst
9.0M	024156.sst
9.0M	024157.sst
9.0M	024218.sst
9.1M	011305.sst
9.1M	013187.sst
9.1M	013953.sst
9.1M	015186.sst
9.1M	015194.sst
9.1M	015855.sst
9.1M	021988.sst
9.2M	004489.sst
9.2M	008379.sst
9.2M	008386.sst
9.2M	008652.sst
9.2M	012088.sst
9.2M	013039.sst
9.2M	024152.sst
9.3M	003963.sst
9.3M	003974.sst
9.3M	008584.sst
9.3M	009039.sst
9.3M	011544.sst
9.3M	012469.sst
9.3M	015457.sst
9.3M	016233.sst
9.3M	024088.sst
9.3M	024133.sst
9.4M	008375.sst
9.4M	008553.sst
9.4M	010023.sst
9.4M	024139.sst
9.5M	003972.sst
9.5M	004565.sst
9.5M	014108.sst
9.5M	017723.sst
9.5M	017964.sst
9.5M	019157.sst
9.6M	006086.sst
9.6M	010658.sst
9.6M	021814.sst
9.7M	008621.sst
9.7M	010766.sst
9.7M	015625.sst
9.7M	021602.sst
9.7M	021720.sst
9.7M	022020.sst
9.8M	005714.sst
9.8M	012900.sst
9.8M	013287.sst
9.9M	010015.sst
9.9M	010795.sst
9.9M	011778.sst
9.9M	012481.sst
9.9M	013062.sst
9.9M	015613.sst
9.9M	016806.sst
9.9M	024128.sst
10M	005726.sst
10M	016960.sst
11M	002295.sst
11M	002296.sst
11M	002308.sst
11M	002312.sst
11M	002315.sst
11M	002319.sst
11M	002325.sst
11M	002329.sst
11M	002332.sst
11M	002335.sst
11M	002337.sst
11M	002338.sst
11M	002342.sst
11M	002347.sst
11M	004190.sst
11M	004539.sst
11M	005343.sst
11M	005353.sst
11M	005369.sst
11M	005380.sst
11M	005382.sst
11M	005728.sst
11M	006124.sst
11M	006779.sst
11M	008688.sst
11M	008923.sst
11M	009907.sst
11M	010405.sst
11M	011050.sst
11M	011760.sst
11M	012613.sst
11M	013175.sst
11M	013316.sst
11M	013583.sst
11M	013801.sst
11M	013972.sst
11M	014123.sst
11M	016695.sst
11M	016828.sst
11M	016959.sst
11M	017198.sst
11M	017320.sst
11M	017744.sst
11M	017751.sst
11M	018744.sst
11M	019390.sst
11M	019394.sst
11M	019420.sst
11M	020509.sst
11M	020799.sst
11M	020929.sst
11M	020935.sst
11M	021087.sst
11M	021443.sst
11M	021985.sst
11M	022022.sst
11M	022902.sst
11M	023149.sst
11M	024134.sst
11M	024153.sst
12M	002314.sst
12M	002326.sst
12M	002336.sst
12M	004179.sst
12M	004215.sst
12M	004219.sst
12M	004226.sst
12M	004254.sst
12M	005345.sst
12M	005361.sst
12M	006826.sst
12M	006839.sst
12M	008263.sst
12M	008513.sst
12M	008605.sst
12M	008623.sst
12M	008639.sst
12M	008663.sst
12M	009930.sst
12M	010858.sst
12M	011424.sst
12M	011782.sst
12M	012367.sst
12M	012628.sst
12M	012769.sst
12M	013047.sst
12M	013052.sst
12M	014094.sst
12M	014261.sst
12M	015289.sst
12M	015465.sst
