tps	qps	lat-95
1403.38	22481.30	31.94
1421.32	22742.07	31.37
1407.52	22520.85	32.53
1410.50	22570.33	33.12
1432.28	22913.85	31.37
1400.83	22408.91	31.94
1415.60	22648.62	31.94
1434.40	22953.68	31.94
1403.95	22463.57	32.53
1417.25	22673.97	31.94
1432.10	22916.27	31.37
1424.10	22778.08	31.94
1401.19	22424.61	32.53
1427.81	22848.71	31.94
1426.30	22817.24	30.81
1402.67	22450.39	32.53
1479.93	23670.83	29.72
1543.09	24687.13	27.17
1545.60	24735.23	27.17
1546.31	24740.48	27.17
1542.42	24680.80	27.66
1549.58	24788.62	27.17
1554.60	24875.63	27.17
1541.80	24669.38	28.16
1550.00	24796.80	27.17
1548.70	24781.68	27.17
1540.23	24642.05	27.66
1550.58	24809.51	26.68
1551.50	24825.37	27.17
1541.10	24654.03	28.16
1553.10	24852.16	27.17
1551.10	24816.53	27.17
1541.09	24656.99	27.66
1551.01	24815.91	27.17
1550.60	24811.58	27.17
1542.30	24672.06	27.17
1552.30	24840.63	27.17
1554.70	24876.42	26.68
1547.70	24765.71	27.66
1554.60	24871.74	27.17
1547.90	24768.23	27.66
1547.50	24759.11	27.66
1550.33	24802.25	26.68
1549.67	24798.57	27.66
1546.20	24738.37	27.66
1543.35	24688.98	27.17
1550.65	24817.86	27.17
1550.93	24812.10	27.66
1548.07	24764.28	27.66
1553.60	24862.54	27.17
1542.75	24680.38	27.17
1542.84	24684.09	28.16
1545.91	24738.10	28.16
1547.10	24743.17	27.17
1543.71	24714.39	27.66
1548.50	24768.47	27.17
1526.78	24431.60	28.67
1545.62	24729.58	27.17
1548.10	24770.11	27.66
1538.80	24624.24	27.66
