tps	qps	lat-95
1353.37	21681.48	34.95
1415.66	22646.42	31.94
1413.80	22626.83	31.94
1393.70	22300.06	33.12
1403.30	22450.68	31.94
1415.75	22647.53	31.37
1384.61	22158.47	33.12
1411.64	22581.24	32.53
1428.90	22864.05	31.37
1404.10	22469.52	31.94
1414.60	22632.54	33.12
1425.50	22806.80	31.94
1400.40	22406.25	33.72
1414.60	22634.63	32.53
1413.79	22617.31	33.12
1420.21	22722.40	32.53
1438.80	23025.13	31.37
1543.81	24700.79	27.17
1541.10	24655.17	27.17
1544.30	24710.23	27.17
1548.81	24783.95	27.17
1546.66	24739.40	27.17
1547.73	24772.42	26.68
1547.78	24758.05	27.66
1544.67	24717.77	27.17
1543.75	24700.45	27.66
1542.90	24683.32	27.17
1541.91	24670.32	27.66
1546.10	24749.74	27.17
1545.00	24710.76	27.17
1546.70	24744.75	27.17
1542.70	24678.85	27.17
1544.69	24723.41	27.66
1543.38	24687.91	27.66
1536.92	24592.26	27.17
1544.10	24709.74	27.17
1544.60	24710.13	27.66
1548.03	24769.32	27.17
1551.17	24811.34	27.17
1544.59	24720.38	27.66
1548.80	24777.73	27.17
1540.30	24648.80	28.67
1541.10	24654.72	27.17
1543.80	24699.08	27.66
1547.04	24759.17	27.17
1541.96	24667.77	27.66
1543.31	24695.51	27.17
1544.68	24713.81	27.17
1542.61	24679.09	27.17
1548.11	24770.28	27.17
1539.70	24642.51	27.66
1541.08	24658.45	27.66
1539.02	24620.48	27.66
1543.06	24686.79	27.17
1539.01	24626.27	27.66
1545.42	24725.41	27.66
1542.11	24675.90	27.66
1541.50	24660.90	28.16
1543.55	24695.85	27.17
1552.15	24836.20	27.17
