tps	qps	lat-95
1370.88	21962.27	33.72
1401.78	22427.64	33.12
1418.78	22698.14	31.37
1385.50	22172.97	33.12
1407.38	22512.02	31.37
1405.83	22499.01	32.53
1393.09	22287.80	32.53
1415.80	22650.83	31.94
1406.69	22506.54	31.94
1422.61	22763.33	31.94
1420.70	22729.24	31.94
1397.00	22358.16	33.12
1412.90	22601.24	32.53
1425.70	22812.25	31.94
1387.40	22199.23	33.72
1416.60	22666.70	31.94
1428.20	22849.16	31.37
1400.11	22393.41	32.53
1412.80	22612.97	32.53
1499.10	23990.33	28.16
1545.90	24728.94	27.17
1541.11	24658.40	27.66
1542.70	24679.32	28.16
1542.80	24686.15	27.17
1533.30	24531.60	28.16
1545.06	24722.74	27.66
1547.04	24757.39	27.66
1544.09	24702.10	27.66
1546.68	24752.86	27.17
1550.02	24798.84	27.17
1542.60	24678.14	27.17
1545.90	24730.27	28.16
1544.80	24719.90	27.17
1544.90	24719.99	26.68
1541.60	24667.19	27.66
1550.50	24803.25	27.66
1543.87	24700.58	27.17
1543.83	24702.90	28.16
1548.67	24781.90	27.17
1540.51	24649.57	27.66
1549.10	24784.47	27.17
1551.89	24830.47	26.68
1545.51	24728.43	27.17
1544.00	24701.52	27.66
1545.70	24725.53	27.17
1538.30	24615.47	28.16
1549.30	24793.74	27.17
1543.60	24692.60	27.17
1538.03	24612.70	27.66
1547.40	24759.59	26.68
1546.17	24732.99	27.17
1544.92	24723.38	27.17
1540.40	24647.24	27.66
1544.20	24702.22	27.66
1539.28	24633.56	27.66
1549.22	24782.77	27.17
1545.14	24727.04	27.17
1538.83	24614.09	28.16
1547.03	24760.31	27.66
1547.09	24747.89	27.17
