tps	qps	lat-95
1392.28	22297.43	33.12
1405.93	22492.24	32.53
1419.11	22708.49	31.94
1396.10	22343.09	33.72
1423.80	22781.36	31.94
1425.10	22800.52	31.37
1404.30	22468.47	32.53
1421.00	22730.45	33.12
1410.00	22566.53	33.12
1413.00	22606.68	32.53
1409.70	22556.42	32.53
1499.69	23997.20	28.67
1546.21	24736.49	27.66
1549.40	24785.73	27.17
1552.20	24838.01	26.68
1548.71	24786.19	27.17
1557.28	24914.82	26.68
1554.38	24867.52	26.68
1543.13	24688.33	28.16
1555.40	24892.44	27.17
1549.67	24791.62	27.66
1550.52	24805.47	27.17
1556.81	24909.99	27.17
1552.99	24848.81	27.17
1550.18	24801.95	27.66
1549.54	24791.97	27.17
1551.48	24821.80	28.16
1552.51	24843.25	27.66
1548.97	24781.66	27.17
1553.43	24854.72	27.66
1554.68	24875.64	27.17
1552.29	24838.14	27.66
1552.81	24842.50	27.66
1557.01	24912.58	27.17
1544.42	24710.99	27.17
1555.79	24890.75	26.68
1556.70	24908.57	26.68
1552.50	24839.67	27.66
1553.11	24849.89	27.17
1547.90	24767.96	27.66
1551.62	24823.57	27.66
1554.58	24872.81	27.17
1548.10	24771.95	27.17
1552.91	24845.91	27.17
1551.78	24834.08	27.66
1547.32	24748.64	27.17
1552.10	24842.34	27.66
1553.00	24841.03	27.66
1546.47	24742.57	27.17
1553.82	24863.62	27.17
1546.71	24750.73	28.16
1538.20	24612.39	28.67
1554.40	24865.21	27.17
1550.19	24801.29	27.17
1543.80	24703.15	27.66
1546.40	24744.21	27.66
1551.30	24817.95	27.66
1552.50	24845.06	27.66
1557.11	24909.28	26.68
1554.06	24866.54	27.17
