tps	qps	lat-95
1382.76	22150.30	33.12
1406.07	22496.70	31.94
1406.09	22495.72	32.53
1403.56	22458.42	32.53
1394.11	22304.22	33.12
1424.90	22801.93	30.26
1403.14	22451.48	33.12
1402.90	22445.75	32.53
1422.69	22762.08	31.94
1399.41	22387.96	33.12
1418.01	22685.40	31.94
1417.30	22682.71	32.53
1438.79	23021.86	31.94
1532.41	24516.01	28.16
1540.80	24648.95	27.66
1543.20	24688.47	27.17
1532.96	24535.69	27.66
1543.04	24686.45	27.66
1550.60	24812.16	26.68
1539.90	24636.73	27.17
1548.20	24774.77	27.17
1547.64	24761.41	28.16
1537.55	24602.95	27.66
1550.40	24807.60	26.68
1547.01	24747.89	27.66
1545.06	24717.97	27.66
1546.89	24751.16	26.68
1547.75	24764.13	27.66
1543.70	24698.59	27.17
1547.23	24756.97	27.17
1548.77	24781.95	27.17
1538.31	24616.89	27.66
1546.60	24741.03	26.68
1554.45	24870.33	27.17
1534.15	24549.06	27.66
1550.30	24805.15	27.66
1550.80	24808.36	26.68
1544.97	24721.28	27.17
1550.84	24811.47	26.68
1545.50	24724.68	27.66
1538.08	24612.95	27.17
1551.61	24829.41	27.17
1545.93	24735.00	27.17
1547.66	24762.50	27.17
1540.72	24648.19	28.16
1549.90	24793.18	27.17
1523.70	24382.54	28.67
1545.98	24739.35	27.17
1551.02	24812.43	27.17
1542.19	24678.43	27.66
1545.05	24718.56	27.17
1547.16	24756.41	27.66
1538.70	24612.93	27.66
1542.90	24690.79	27.17
1554.40	24872.88	26.68
1541.72	24665.56	28.16
1535.35	24567.82	28.16
1552.23	24831.78	27.17
1544.20	24706.40	27.17
1546.53	24746.82	27.66
