tps	qps	lat-95
1399.94	22425.52	33.12
1428.93	22864.70	31.37
1416.15	22655.10	31.94
1410.40	22567.46	32.53
1435.50	22966.61	31.94
1419.80	22721.07	31.37
1386.03	22178.63	34.33
1427.47	22834.18	31.94
1433.66	22937.92	31.37
1405.64	22494.89	33.12
1428.33	22851.43	31.94
1433.76	22935.60	32.53
1420.47	22732.83	31.37
1414.34	22627.87	33.12
1451.60	23227.33	30.26
1409.40	22549.23	32.53
1410.90	22571.12	33.12
1446.30	23143.01	30.81
1423.00	22768.24	31.94
1429.27	22872.61	31.94
1442.13	23070.15	31.37
1408.85	22538.83	33.12
1500.35	24008.50	28.67
1552.51	24841.29	27.17
1553.42	24855.82	27.17
1552.53	24836.68	27.17
1561.75	24989.13	27.17
1551.10	24815.67	27.66
1550.00	24805.20	27.17
1557.87	24922.34	27.17
1556.83	24914.21	26.68
1550.10	24789.05	27.17
1555.70	24898.06	27.17
1550.38	24806.93	27.17
1557.72	24921.96	27.17
1558.54	24939.22	27.17
1554.16	24863.91	26.68
1558.92	24950.27	26.68
1563.13	25008.92	26.68
1550.64	24804.71	27.17
1558.98	24944.55	26.68
1556.02	24898.38	27.17
1558.20	24926.36	26.68
1553.20	24857.45	27.17
1563.31	25010.01	27.17
1556.30	24903.06	26.68
1555.96	24893.89	27.66
1550.16	24801.11	27.66
1552.68	24842.87	27.17
1558.27	24931.84	26.68
1560.41	24962.54	27.17
1550.57	24811.09	27.17
1549.34	24794.39	27.66
1555.84	24894.97	27.17
1553.45	24848.13	27.17
1553.30	24852.71	27.17
1559.50	24954.86	27.17
1545.59	24730.68	28.16
1549.91	24794.70	27.66
1558.00	24928.84	27.17
